"aardvark","aardvark"
"anteater","anteater"
"antelope","antelope"
"armadillo","armadillo"
"baboon","baboon"
"badger","badger"
"bandicoot","bandicoot"
"barnacle","barnacle"
"barracuda","barracuda"
"bat","bat"
"beagle","beagle"
"bear","bear"
"beaver","beaver"
"beetle","beetle"
"binturong","binturong"
"bird","bird"
"bison","bison"
"bloodhound","bloodhound"
"bobcat","bobcat"
"bombay","bombay"
"budgerigar","budgerigar"
"buffalo","buffalo"
"bull","bull"
"bulldog","bulldog"
"bullfrog","bullfrog"
"burmese","burmese"
"butterfly","butterfly"
"camel","camel"
"cassowary","cassowary"
"cat","cat"
"caterpillar","caterpillar"
"catfish","catfish"
"cavalier","cavalier"
"centipede","centipede"
"chameleon","chameleon"
"cheetah","cheetah"
"chicken","chicken"
"chihuahua","chihuahua"
"chimpanzee","chimpanzee"
"chinchilla","chinchilla"
"chipmunk","chipmunk"
"cockroach","cockroach"
"cougar","cougar"
"cow","cow"
"coyote","coyote"
"crab","crab"
"crocodile","crocodile"
"cuttlefish","cuttlefish"
"dachshund","dachshund"
"dalmatian","dalmatian"
"deer","deer"
"dingo","dingo"
"doberman","doberman"
"dodo","dodo"
"dog","dog"
"dolphin","dolphin"
"donkey","donkey"
"dragonfly","dragonfly"
"duck","duck"
"dugong","dugong"
"eagle","eagle"
"earwig","earwig"
"echidna","echidna"
"elephant","elephant"
"emu","emu"
"falcon","falcon"
"ferret","ferret"
"fish","fish"
"flamingo","flamingo"
"flounder","flounder"
"fox","fox"
"frigatebird","frigatebird"
"frog","frog"
"gecko","gecko"
"gerbil","gerbil"
"gibbon","gibbon"
"giraffe","giraffe"
"goat","goat"
"goose","goose"
"gopher","gopher"
"gorilla","gorilla"
"grasshopper","grasshopper"
"greyhound","greyhound"
"guinea","guinea"
"hamster","hamster"
"hedgehog","hedgehog"
"heron","heron"
"hippopotamus","hippopotamus"
"horse","horse"
"hummingbird","hummingbird"
"humpback","humpback"
"hyena","hyena"
"ibis","ibis"
"iguana","iguana"
"insect","insect"
"jackal","jackal"
"jaguar","jaguar"
"jellyfish","jellyfish"
"kangaroo","kangaroo"
"kingfisher","kingfisher"
"kiwi","kiwi"
"koala","koala"
"komodo","komodo"
"labradoodle","labradoodle"
"labrador","labrador"
"ladybird","ladybird"
"lemming","lemming"
"lemur","lemur"
"leopard","leopard"
"lion","lion"
"lionfish","lionfish"
"lizard","lizard"
"llama","llama"
"lobster","lobster"
"lynx","lynx"
"macaw","macaw"
"magpie","magpie"
"manatee","manatee"
"mandrill","mandrill"
"mayfly","mayfly"
"meerkat","meerkat"
"millipede","millipede"
"mole","mole"
"mongoose","mongoose"
"monkey","monkey"
"moose","moose"
"moth","moth"
"mouse","mouse"
"newt","newt"
"numbat","numbat"
"octopus","octopus"
"okapi","okapi"
"opossum","opossum"
"orang-utan","orang-utan"
"ostrich","ostrich"
"otter","otter"
"oyster","oyster"
"pademelon","pademelon"
"panther","panther"
"parrot","parrot"
"peacock","peacock"
"pelican","pelican"
"penguin","penguin"
"pig","pig"
"piranha","piranha"
"platypus","platypus"
"poodle","poodle"
"pool","pool"
"porcupine","porcupine"
"possum","possum"
"prawn","prawn"
"puffin","puffin"
"pug","pug"
"quail","quail"
"quokka","quokka"
"quoll","quoll"
"rabbit","rabbit"
"raccoon","raccoon"
"rat","rat"
"rattlesnake","rattlesnake"
"reindeer","reindeer"
"rhinoceros","rhinoceros"
"rottweiler","rottweiler"
"sand","sand"
"scorpion","scorpion"
"seahorse","seahorse"
"seal","seal"
"sheep","sheep"
"shrimp","shrimp"
"siamese","siamese"
"siberian","siberian"
"skunk","skunk"
"sloth","sloth"
"snail","snail"
"snake","snake"
"sparrow","sparrow"
"spider","spider"
"sponge","sponge"
"squid","squid"
"squirrel","squirrel"
"stag","stag"
"starfish","starfish"
"stingray","stingray"
"swan","swan"
"termite","termite"
"tiger","tiger"
"tortoise","tortoise"
"toucan","toucan"
"turkey","turkey"
"vulture","vulture"
"wallaby","wallaby"
"walrus","walrus"
"warthog","warthog"
"wasp","wasp"
"weasel","weasel"
"whale","whale"
"white","white"
"wildebeest","wildebeest"
"wolf","wolf"
"wolverine","wolverine"
"wombat","wombat"
"woodlouse","woodlouse"
"woodpecker","woodpecker"
"yak","yak"
"zebra","zebra"